modernized_xlsx,sheet,csv_export,rows,columns,status
data/air_full_cost_model/modernized_xlsx/air_congestion_model_original_lotus123.xlsx,Sheet1,data/air_full_cost_model/csv_exports/air_congestion_model_original_lotus123__Sheet1.csv,56,11,moved_to_shared_source_pointer
data/air_full_cost_model/modernized_xlsx/air_noise_model_original.xlsx,A,data/air_full_cost_model/csv_exports/air_noise_model_original__A.csv,118,7,moved_to_shared_source_pointer
data/air_full_cost_model/modernized_xlsx/air_noise_model_original.xlsx,B,data/air_full_cost_model/csv_exports/air_noise_model_original__B.csv,30,7,moved_to_shared_source_pointer
data/air_full_cost_model/modernized_xlsx/social_cost_charts_original_excel5.xlsx,CONGESTION,data/air_full_cost_model/csv_exports/social_cost_charts_original_excel5__CONGESTION.csv,48,12,moved_to_shared_source_pointer
data/air_full_cost_model/modernized_xlsx/social_cost_charts_original_excel5.xlsx,NOISE,data/air_full_cost_model/csv_exports/social_cost_charts_original_excel5__NOISE.csv,102,19,moved_to_shared_source_pointer
data/air_full_cost_model/modernized_xlsx/social_cost_charts_original_excel5.xlsx,ACCIDENTS,data/air_full_cost_model/csv_exports/social_cost_charts_original_excel5__ACCIDENTS.csv,100,6,moved_to_shared_source_pointer
