package_source,text_extract,status,message
documentation/full_cost_report/chapter_five_air_costs_final_report_source_word6.doc,documentation/legacy_text_extracts/documentation_full_cost_report_chapter_five_air_costs_final_report_source_word6.doc.txt,extracted,
documentation/full_cost_report/air_cost_summary_tables_original_word6.doc,documentation/legacy_text_extracts/documentation_full_cost_report_air_cost_summary_tables_original_word6.doc.txt,extracted,
documentation/source_workpapers/accident_costs_source_workpaper_original_word5.doc,documentation/legacy_text_extracts/documentation_source_workpapers_accident_costs_source_workpaper_original_word5.doc.txt,extracted,
documentation/source_workpapers/air_congestion_value_of_time_source_note_original_word5.doc,documentation/legacy_text_extracts/documentation_source_workpapers_air_congestion_value_of_time_source_note_original_word5.doc.txt,extracted,
documentation/source_workpapers/noise_costs_source_workpaper_original_word5.doc,documentation/legacy_text_extracts/documentation_source_workpapers_noise_costs_source_workpaper_original_word5.doc.txt,extracted,
documentation/source_workpapers/pollution_costs_source_workpaper_original_word5.doc,documentation/legacy_text_extracts/documentation_source_workpapers_pollution_costs_source_workpaper_original_word5.doc.txt,extracted,
data/air_full_cost_model/original_legacy/cost_per_aircraft_movement_original_excel5.xls,documentation/legacy_text_extracts/data_air_full_cost_model_original_legacy_cost_per_aircraft_movement_original_excel5.xls.strings.txt,strings_extract_created,LibreOffice did not expose readable cells; strings extract captures visible labels/text from original legacy file.
data/air_full_cost_model/original_legacy/operating_cost_per_enplaned_passenger_us_airports_original_excel5.xls,documentation/legacy_text_extracts/data_air_full_cost_model_original_legacy_operating_cost_per_enplaned_passenger_us_airports_original_excel5.xls.strings.txt,strings_extract_created,LibreOffice did not expose readable cells; strings extract captures visible labels/text from original legacy file.
data/air_full_cost_model/original_legacy/enplanements_with_cost_per_enplanement_original_excel5.xls,documentation/legacy_text_extracts/data_air_full_cost_model_original_legacy_enplanements_with_cost_per_enplanement_original_excel5.xls.strings.txt,strings_extract_created,LibreOffice did not expose readable cells; strings extract captures visible labels/text from original legacy file.
