package_source,modernized_xlsx,status,message
data/air_full_cost_model/original_legacy/cost_per_aircraft_movement_original_excel5.xls,,not_retained_blank_conversion,LibreOffice produced a blank/duplicate workbook for this very old Mac Excel file; original retained and strings extract added instead.
data/air_full_cost_model/original_legacy/operating_cost_per_enplaned_passenger_us_airports_original_excel5.xls,,not_retained_blank_conversion,LibreOffice produced a blank/duplicate workbook for this very old Mac Excel file; original retained and strings extract added instead.
data/air_full_cost_model/original_legacy/enplanements_with_cost_per_enplanement_original_excel5.xls,,not_retained_blank_conversion,LibreOffice produced a blank/duplicate workbook for this very old Mac Excel file; original retained and strings extract added instead.
../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/original_legacy/air_noise_model_original.xls,../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/modernized_xlsx/air_noise_model_original.xlsx,moved_to_shared_source_pointer,Converted workbook lives in _shared_sources/full-cost-intercity-transportation-1996; per-paper duplicate removed.
../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/original_legacy/air_congestion_model_original_lotus123.123,../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/modernized_xlsx/air_congestion_model_original_lotus123.xlsx,moved_to_shared_source_pointer,Converted workbook lives in _shared_sources/full-cost-intercity-transportation-1996; per-paper duplicate removed.
../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/original_legacy/social_cost_charts_original.xls,../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/modernized_xlsx/social_cost_charts_original.xlsx,moved_to_shared_source_pointer,Converted workbook lives in _shared_sources/full-cost-intercity-transportation-1996; per-paper duplicate removed.
